Metagenome	Bin Name	Marker Lineage	# Genomes	# Markers	# Marker Sets	0	1	2	3	4	5+	Completeness	Contamination	Domain	Phylum	Class	Order	Family	Genus	Species	FastANI Reference	FastANI Reference Radius	FastANI Taxonomy	FastANI ANI	FastANI Alignment Fraction	Closest Placement Reference	Closest Placement Taxonomy	Closest Placement ANI	Closest Placement Alignment Fraction	Classification Method	Note	Other Related References	MSA AA Percent	RED Value	Warnings	...2	BinContigLenSum	hallmarkSum	gcMean	seqname	max_contigLen	max_score	max_contigLenGroup	full-partial	bin_high_group	bin_high_ContigLenSum	GroupPercent
C1	bin.001	f__Enterobacteriaceae	55	546	224	34	512	0	0	0	0	98.21	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Rahnella	Rahnella chamberiensis_A	GCF_009295505.1	95	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__Rahnella chamberiensis_A	99.2	0.95	GCF_009295505.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__Rahnella chamberiensis_A	99.2	0.95	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002951615.1, s__Rahnella sp0029516...	84.14	-	-	0	5237627	24	53	NODE_1_length_875661_cov_21.507197	875661	NA	Bacteria?	NA	Bacteria?	4376350	83
C1	bin.005	p__Firmicutes	100	295	158	50	236	9	0	0	0	81.83	4.59	Bacteria	Firmicutes_C	Negativicutes	Sporomusales	Acetonemaceae			-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	79.53	0.7400533585	-	4	2387371	4	46	NODE_297_length_30874_cov_4.573575	30874	NA	Bacteria?	NA	Bacteria?	2303383	96
C1	bin.006	k__Bacteria	88	230	148	47	175	7	1	0	0	81.3	4.76	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	UBA11358	UBA11358		-	-	-	-	-	GCA_003133815.1	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__UBA11358;s__UBA11358 sp003133815	82.89	0.57	taxonomic classification defined by topology and ANI	-	GCA_003139955.1, s__UBA11358 sp0031399...	65.59	0.9568328465	-	5	2077213	3	54	NODE_164_length_48092_cov_4.292025	48092	NA	Bacteria?	NA	Bacteria?	1963987	94
C1	bin.007	k__Bacteria	5449	104	58	21	83	0	0	0	0	73.64	0	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	66.57	0.8834816089	-	6	800667	1	53	NODE_30_length_154766_cov_5.869156	154766	NA	Bacteria?	NA	Bacteria?	762362	95
C1	bin.008	g__Clostridium	44	404	145	2	390	10	2	0	0	98.62	5.48	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae			-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	93.21	0.8171843735	-	7	4747890	23	34	NODE_9_length_318351_cov_27.959192	318351	0.9	dsDNAphage	|0_partial	Bacteria?	4260204	89
C1	bin.010	k__Bacteria	2258	187	116	11	173	3	0	0	0	94.85	2.16	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		-	-	-	-	-	-	-	-	-	ANI	-	GCA_003170825.1, s__Terracidiphilus sp...	89.5	0.9249754435	-	9	3831607	4	63	NODE_7_length_366519_cov_10.987767	366519	NA	Bacteria?	NA	Bacteria?	3745989	97
C1	bin.012	o__Pseudomonadales	185	813	308	30	754	29	0	0	0	97.36	1.29	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E sp002814235	GCF_002814235.1	95	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp002814235	97.54	0.91	GCF_002814235.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp002814235	97.54	0.91	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_013385425.1, s__Pseudomonas_E ging...	82.71	-	-	11	7131976	37	61	NODE_34_length_130996_cov_5.197547	130996	NA	Bacteria?	NA	Bacteria?	6808826	95
C1	bin.016	k__Bacteria	5449	104	58	50	54	0	0	0	0	78.79	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	BGMRC-2031		-	-	-	-	-	GCF_005217455.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__BGMRC-2031;s__BGMRC-2031 sp005217455	79.24	0.38	taxonomic classification defined by topology and ANI	-	GCF_004346745.1, s__BGMRC-2031 sp00434...	68.95	0.957664984	-	15	4719231	23	53	NODE_110_length_63050_cov_4.657020	63050	NA	Bacteria?	NA	Bacteria?	4513128	95
C1	bin.017	f__Bacillaceae	128	555	180	5	529	20	1	0	0	98.25	4.84	Bacteria	Firmicutes	Bacilli	Bacillales_B	DSM-18226	Neobacillus		-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	94.28	0.8428571747	-	16	4645902	7	38	NODE_15_length_231890_cov_7.339034	231890	NA	Bacteria?	NA	Bacteria?	4584966	98
C2	bin.001	k__Bacteria	5449	104	58	36	59	9	0	0	0	56.32	5.38	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20			-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	46.67	0.8397443697	-	0	553024	1	52	NODE_2087_length_33473_cov_4.492639	33473	NA	Bacteria?	NA	Bacteria?	485109	87
